room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
784856,1418,4138224,Entire home/apt,,Sao Paulo,SAO PAULO,Campo Belo,0,0.0,2,1.0,,91.0,,Duplex loft in Campo Belo,Loft,2017-07-02 04:23:46.251419,-23.616121,-46.674538,0101000020E610000062F4DC42575647C0FA60191BBA9D37C0
2496063,1418,12775579,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,2,2.0,,94.0,,Charming 2BD apto-Park and Airport,Apartment,2017-07-02 04:23:46.240843,-23.604055,-46.668569,0101000020E6100000490F43AB935547C03BFC3559A39A37C0
1080431,1418,1268752,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,2,0.0,2,1.0,,100.0,,Great Studio in Vila Nova Conceição,Apartment,2017-07-02 04:23:46.237464,-23.594652,-46.670897,0101000020E610000004FEF0F3DF5547C041800C1D3B9837C0
2206738,1418,10210225,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,3,1.0,,91.0,,Excellent flat in Itaim Bibi,Apartment,2017-07-02 04:23:46.235014,-23.596794,-46.679304,0101000020E61000006005F86EF35647C0F372D87DC79837C0
1069203,1418,147862,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,1,0.0,3,1.0,,94.0,,Apartment in Vila Nova Conceição,Apartment,2017-07-02 04:23:46.229705,-23.593695,-46.672896,0101000020E6100000FBCDC474215647C079CC4065FC9737C0
5755538,1418,29857522,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,21,5.0,8,3.0,,97.0,,"Itaim próx. F. Lima, R. Iguatemi 64",Apartment,2017-07-02 04:23:44.722886,-23.58457,-46.68099,0101000020E6100000977329AE2A5747C004392861A69537C0
3552911,1418,17730631,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,1.0,,84.0,,"Novo ,aconchegante e prático .",Apartment,2017-07-02 04:23:44.719844,-23.599393,-46.679836,0101000020E61000005D52B5DD045747C08A73D4D1719937C0
10670978,1418,4344390,Entire home/apt,,Sao Paulo,SAO PAULO,Campo Belo,0,0.0,4,3.0,,91.0,,Apto a 10 min do Aeroporto Congonhas e Av. Berrini,Apartment,2017-07-02 04:23:44.714821,-23.621251,-46.675718,0101000020E6100000C6A86BED7D5647C0789B374E0A9F37C0
12325381,1418,874242,Entire home/apt,,Sao Paulo,SAO PAULO,Campo Belo,0,0.0,3,3.0,,94.0,,Vila Charmosa,House,2017-07-02 04:23:44.707382,-23.624693,-46.665038,0101000020E6100000734C16F71F5547C0460A65E1EB9F37C0
2429729,1418,12418618,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,1.0,,94.0,,"Apt prático,charmoso,bem localizado",Apartment,2017-07-02 04:23:44.698190,-23.597281,-46.674542,0101000020E6100000A4E36A64575647C0AD855968E79837C0
9251825,1418,48070697,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,1.0,,84.0,,localizaçao imbatível!!,Apartment,2017-07-02 04:23:44.695180,-23.596289,-46.677986,0101000020E6100000AB92C83EC85647C0ECF65965A69837C0
9990963,1418,28136214,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,2,1.0,,94.0,,Apt Moderno e Aconchegante!!!!,Apartment,2017-07-02 04:23:43.334630,-23.607654,-46.667458,0101000020E61000000FBA84436F5547C0994869368F9B37C0
3521115,1418,17730631,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,0.0,,84.0,,Brand New in an excellent location,Apartment,2017-07-02 04:23:43.327531,-23.601731,-46.679155,0101000020E61000001BF5108DEE5647C048FDF50A0B9A37C0
6261783,1418,17130253,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,0.0,,87.0,,Brad-new loft at Itaim Bibi,Apartment,2017-07-02 04:23:43.322043,-23.588721,-46.673702,0101000020E6100000F99FFCDD3B5647C0EA77616BB69637C0
3666816,1418,18595190,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,4,2.0,,94.0,,Próximo a Av. Santo Amaro | Berrini,Apartment,2017-07-02 04:23:43.316736,-23.611871,-46.67849,0101000020E6100000DE54A4C2D85647C0EE5EEE93A39C37C0
11061949,1418,4789657,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,1,0.0,4,3.0,,94.0,,Espaçoso e bem localizado,Apartment,2017-07-02 04:23:43.309129,-23.586034,-46.668975,0101000020E6100000BA6B09F9A05547C015580053069637C0
12018380,1418,12841570,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,4,2.0,,93.0,,★Santo Amaro SP 74★,Apartment,2017-07-02 04:23:43.305726,-23.599726,-46.675357,0101000020E6100000F50F2219725647C0978FA4A4879937C0
2995020,1418,15268260,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,2,1.0,,88.0,,HOSPEDAGEM EM SÃO PAULO ,Apartment,2017-07-02 04:23:43.302946,-23.613125,-46.662007,0101000020E61000008E5C37A5BC5447C0295C8FC2F59C37C0
2909454,1418,12284662,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,4,1.0,,95.0,,Aconchego na Vila Nova Conceição!!,Apartment,2017-07-02 04:23:43.297353,-23.595075,-46.67046,0101000020E610000059A31EA2D15547C0CEAACFD5569837C0
11242977,1418,56395650,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,2,0.0,,88.0,,The best studio in SP!!!!,Apartment,2017-07-02 04:23:41.515982,-23.598906,-46.666195,0101000020E61000001EE1B4E0455547C0D06053E7519937C0
15719348,1418,101545186,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,3,5.0,6,4.0,,91.0,,Apartamento Moema,Apartment,2017-07-02 04:23:38.393163,-23.605967,-46.674449,0101000020E6100000F3E84658545647C08A743FA7209B37C0
3089683,1418,15321479,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,0,0.0,4,2.0,,94.0,,2 BD Confortable and prime location,Apartment,2017-07-02 04:23:30.796600,-23.56601,-46.679967,0101000020E6100000FBAD9D28095747C07E350708E69037C0
3852346,1418,16025001,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,2,0.0,2,1.0,,101.0,,Excelente flat - Brooklin,Apartment,2017-07-02 04:23:03.636119,-23.608763,-46.687449,0101000020E61000007E552E54FE5747C0CD0358E4D79B37C0
2575339,1418,13187536,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,1.0,,103.0,,"Amazing apartment in Brooklyn, São Paulo",Apartment,2017-07-02 04:23:03.633655,-23.615227,-46.682344,0101000020E6100000984F560C575747C0BF9D44847F9D37C0
2949850,1418,4908121,Entire home/apt,,Sao Paulo,SAO PAULO,Jardim Paulista,0,0.0,2,0.0,,88.0,,Cozy studio in Jardins,Apartment,2017-07-02 04:23:02.775746,-23.561388,-46.661634,0101000020E6100000F9F5436CB05447C0EA5DBC1FB78F37C0
175817,1418,840056,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Mariana,0,0.0,2,1.0,,102.0,,Paulista Avenue and Ibirapuera Park,Apartment,2017-07-02 04:22:43.910383,-23.574044,-46.645965,0101000020E610000029AE2AFBAE5247C00C772E8CF49237C0
6328340,1418,10417578,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,19,5.0,4,2.0,,93.0,,better than a 5* hotel - 2 bedrooms,Apartment,2017-07-02 04:22:37.107595,-23.620112,-46.698056,0101000020E6100000676325E6595947C06EDBF7A8BF9E37C0
9483623,1418,10671887,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,1,0.0,4,2.0,,84.0,,Beautiful & Cozy apt,Apartment,2017-07-02 04:22:37.098451,-23.596828,-46.677732,0101000020E6100000F1B913ECBF5647C04B5645B8C99837C0
